Location,FIPS,Category,geoid,pctChange,geoID
"Autauga County, Alabama",1001,Cardiovascular diseases,0500000US01001,-42.76,0500000US01001
"Baldwin County, Alabama",1003,Cardiovascular diseases,0500000US01003,-38.96,0500000US01003
"Barbour County, Alabama",1005,Cardiovascular diseases,0500000US01005,-50.52,0500000US01005
"Bibb County, Alabama",1007,Cardiovascular diseases,0500000US01007,-31.09,0500000US01007
"Blount County, Alabama",1009,Cardiovascular diseases,0500000US01009,-34.94,0500000US01009
"Bullock County, Alabama",1011,Cardiovascular diseases,0500000US01011,-46.03,0500000US01011
"Butler County, Alabama",1013,Cardiovascular diseases,0500000US01013,-30.49,0500000US01013
"Calhoun County, Alabama",1015,Cardiovascular diseases,0500000US01015,-31.55,0500000US01015
"Chambers County, Alabama",1017,Cardiovascular diseases,0500000US01017,-32.78,0500000US01017
"Cherokee County, Alabama",1019,Cardiovascular diseases,0500000US01019,-44.55,0500000US01019
"Chilton County, Alabama",1021,Cardiovascular diseases,0500000US01021,-35.71,0500000US01021
"Choctaw County, Alabama",1023,Cardiovascular diseases,0500000US01023,-32.85,0500000US01023
"Clarke County, Alabama",1025,Cardiovascular diseases,0500000US01025,-43.25,0500000US01025
"Clay County, Alabama",1027,Cardiovascular diseases,0500000US01027,-20.26,0500000US01027
"Cleburne County, Alabama",1029,Cardiovascular diseases,0500000US01029,-30.74,0500000US01029
"Coffee County, Alabama",1031,Cardiovascular diseases,0500000US01031,-30.67,0500000US01031
"Colbert County, Alabama",1033,Cardiovascular diseases,0500000US01033,-40.13,0500000US01033
"Conecuh County, Alabama",1035,Cardiovascular diseases,0500000US01035,-34.49,0500000US01035
"Coosa County, Alabama",1037,Cardiovascular diseases,0500000US01037,-39.91,0500000US01037
"Covington County, Alabama",1039,Cardiovascular diseases,0500000US01039,-37.51,0500000US01039
"Crenshaw County, Alabama",1041,Cardiovascular diseases,0500000US01041,-40,0500000US01041
"Cullman County, Alabama",1043,Cardiovascular diseases,0500000US01043,-27.34,0500000US01043
"Dale County, Alabama",1045,Cardiovascular diseases,0500000US01045,-37.45,0500000US01045
"Dallas County, Alabama",1047,Cardiovascular diseases,0500000US01047,-18.03,0500000US01047
"DeKalb County, Alabama",1049,Cardiovascular diseases,0500000US01049,-34.38,0500000US01049
"Elmore County, Alabama",1051,Cardiovascular diseases,0500000US01051,-50.41,0500000US01051
"Escambia County, Alabama",1053,Cardiovascular diseases,0500000US01053,-33.75,0500000US01053
"Etowah County, Alabama",1055,Cardiovascular diseases,0500000US01055,-34.41,0500000US01055
"Fayette County, Alabama",1057,Cardiovascular diseases,0500000US01057,-31.45,0500000US01057
"Franklin County, Alabama",1059,Cardiovascular diseases,0500000US01059,-32.08,0500000US01059
"Geneva County, Alabama",1061,Cardiovascular diseases,0500000US01061,-36.02,0500000US01061
"Greene County, Alabama",1063,Cardiovascular diseases,0500000US01063,-43.08,0500000US01063
"Hale County, Alabama",1065,Cardiovascular diseases,0500000US01065,-38.11,0500000US01065
"Henry County, Alabama",1067,Cardiovascular diseases,0500000US01067,-46.24,0500000US01067
"Houston County, Alabama",1069,Cardiovascular diseases,0500000US01069,-40.69,0500000US01069
"Jackson County, Alabama",1071,Cardiovascular diseases,0500000US01071,-38.24,0500000US01071
"Jefferson County, Alabama",1073,Cardiovascular diseases,0500000US01073,-35.81,0500000US01073
"Lamar County, Alabama",1075,Cardiovascular diseases,0500000US01075,-39.75,0500000US01075
